#Encore Driver GEnerator version: 4.1

#Document Info table definition
 drv_type, edge_vers
      DRV,       4.1

#LIF (Logical Interface) table definition
 hw_mod_name, hw_lif_name, hw_lif_vers,      bus, endian, description
        test,        test,       1.0.0, PLATFORM,     LE,

#Device Identification table definition
     vendor, device, args
 0xff000000,    0x0,

#Resources (MEM - DMA - IRQ) table definition
 res_def_name, type, res_no, args, description
    registers,  MEM,      0,     ,
          dma,  DMA,      0,     , DMA channel resource

#Block table definition
 block_def_name,  type,  name, offset, rwmode, dwidth, depth, mask, flags, description
          block,   REG,  test,    0x0,      r,     32,   0x1,     ,      ,

#Block instances table definition
 block_inst_name, block_def_name, res_def_name, offset, description
           block,          block,    registers,    0x0,

