#Encore Driver GEnerator version: 4.1

#Document Info table definition
 drv_type, edge_vers
      DRV,       4.1

#LIF (Logical Interface) table definition
 hw_mod_name, hw_lif_name, hw_lif_vers, bus, endian, description
    acdipole,    acdipole,       0.1.0, PCI,     BE,

#Device Identification table definition
 vendor, device, args
 0x10dc,  0x1d8,

#Resources (MEM - DMA - IRQ) table definition
 res_def_name, type, res_no, args, description
         bar0,  MEM,      0,     , AXI4-Lite; acdipole IP
         bar1,  MEM,      1,     , DDR for ADC-DAC
         bar2,  MEM,      2,     , purposely empty bar

#Block table definition
  block_def_name,            type,                         name, offset, rwmode, dwidth,    depth,       mask, flags, description
     acdipole_ip,             REG,                     revision,    0x0,      r,     32,      0x1,           ,      ,
     acdipole_ip,             REG,             revision_hw_type,    0x0,      r,     32,      0x1,  0xf000000,      ,
     acdipole_ip,             REG,         revision_hw_revision,    0x0,      r,     32,      0x1,   0xf00000,      ,
     acdipole_ip,             REG,      revision_logic_revision,    0x0,      r,     32,      0x1,     0xffff,      ,
     acdipole_ip,             REG,                      control,    0x4,     rw,     32,      0x1,           ,      ,
     acdipole_ip,             REG,           control_pll_status,    0x4,     rw,     32,      0x1,   0x400000,      , high if pll locked
     acdipole_ip,             REG,       control_inhibit_status,    0x4,     rw,     32,      0x1,   0x200000,      , high if 1m trigger inhibition active
     acdipole_ip,             REG,           control_dcm_status,    0x4,     rw,     32,      0x1,   0x100000,      , high if DCM locked
     acdipole_ip,             REG,           control_acq_status,    0x4,     rw,     32,      0x1,    0x80000,      , high if acquisition in progress
     acdipole_ip,             REG,           control_run_status,    0x4,     rw,     32,      0x1,    0x40000,      , high if waveform is generated
     acdipole_ip,             REG,              control_dac_run,    0x4,     rw,     32,      0x1,    0x10000,      , high to run; allows data capture
     acdipole_ip,             REG,                  control_arm,    0x4,     rw,     32,      0x1,     0x8000,      , high to allow trigger; auto-reset upon trigger
     acdipole_ip,             REG,         control_ampli_status,    0x4,     rw,     32,      0x1,     0x2000,      , high to switch amplifiers on (to PLC)
     acdipole_ip,             REG,        control_ampli_control,    0x4,     rw,     32,      0x1,     0x1000,      , high if ac-dipole relay open
     acdipole_ip,             REG,             control_adc_test,    0x4,     rw,     32,      0x1,       0x20,      , high to write test data to mem; low for ADC data
     acdipole_ip,             REG,            control_soft_trig,    0x4,     rw,     32,      0x1,        0x8,      , high to send soft-trigger; auto-reset upon trigger; obsolete
     acdipole_ip,             REG,       control_ext_trig_inhib,    0x4,     rw,     32,      0x1,        0x4,      , high to inhibit external trigger
     acdipole_ip,             REG,              control_adc_run,    0x4,     rw,     32,      0x1,        0x2,      , high to run; allows data capture
     acdipole_ip,             REG,           control_soft_reset,    0x4,     rw,     32,      0x1,        0x1,      , high to reset user part of FPGA
     acdipole_ip,             REG,                         test,    0x8,      r,     32,      0x1,           ,      ,
     acdipole_ip,             REG,                  temperature,    0xc,      r,     32,      0x1,           ,      ,
     acdipole_ip,             REG,      temperature_temperature,    0xc,      r,     32,      0x1,     0xffff,      , unit 0.0625 deg. C.
     acdipole_ip,             REG,                 temp_warning,   0x10,     rw,     32,      0x1,           ,      , clear warning on read
     acdipole_ip,             REG,                 temp_failure,   0x14,     rw,     32,      0x1,           ,      , clear warning on read
     acdipole_ip,             REG,                 ram_acq_addr,   0x18,     rw,     32,      0x1,           ,      , Acquisition RAM address
     acdipole_ip,             REG,                 ram_acq_data,   0x1c,      r,     32,      0x1,           ,      , Acquisition RAM data
     acdipole_ip,             REG,                  pll_control,   0x20,     rw,     32,      0x1,           ,      , PLL clock control; obsolete
     acdipole_ip,             REG,             clock_distr_intf,   0x24,     rw,     32,      0x1,           ,      , Clock distribution interface; obsolete
     acdipole_ip,             REG,                     pll_intf,   0x28,     rw,     32,      0x1,           ,      , PLL interface; obsolete
     acdipole_ip,             REG,                    adc_ch_en,   0x2c,     rw,     32,      0x1,           ,      , ADC channel enables
     acdipole_ip,             REG,                    dac_ch_en,   0x30,     rw,     32,      0x1,           ,      , DAC channel enables
     acdipole_ip,             REG,                    reserved0,   0x34,     rw,     32,      0x1,           ,      ,
     acdipole_ip,             REG,                 ram_dac_addr,   0x38,     rw,     32,      0x1,           ,      , DAC RAM address
     acdipole_ip,             REG,                 ram_dac_data,   0x3c,     rw,     32,      0x1,           ,      , DAC RAM data
     acdipole_ip,             REG,         ram_dac_data_sample1,   0x3c,     rw,     32,      0x1, 0xffff0000,      ,
     acdipole_ip,             REG,         ram_dac_data_sample0,   0x3c,     rw,     32,      0x1,     0xffff,      ,
     acdipole_ip,             REG,                 adc_ampli_en,   0x40,     rw,     32,      0x1,           ,      , ADC Amplifier enables
     acdipole_ip,             REG,                 dac_controls,   0x44,     rw,     32,      0x1,           ,      , DAC controls
     acdipole_ip,             REG,        dac_controls_feedback,   0x44,     rw,     32,      0x1,       0x40,      , DAC outputs are loopback of ADC values
     acdipole_ip,             REG,                 adc_controls,   0x48,     rw,     32,      0x1,           ,      , ADC controls
     acdipole_ip,             REG,                trig_ctrl_adc,   0x5c,     rw,     32,      0x1,           ,      , trigger control ADC
     acdipole_ip,             REG,    trig_ctrl_adc_ext_trig_en,   0x5c,     rw,     32,      0x1, 0x80000000,      , external trigger enable
     acdipole_ip,             REG,           trig_ctrl_adc_mode,   0x5c,     rw,     32,      0x1, 0x40000000,      , trigger mode; framed/unframed
     acdipole_ip,             REG,         trig_ctrl_adc_points,   0x5c,     rw,     32,      0x1,     0xffff,      , points to collect
     acdipole_ip,             REG,                trig_ctrl_dac,   0x60,     rw,     32,      0x1,           ,      , trigger control DAC
     acdipole_ip,             REG,    trig_ctrl_dac_ext_trig_en,   0x60,     rw,     32,      0x1, 0x80000000,      , external trigger enable
     acdipole_ip,             REG,           trig_ctrl_dac_mode,   0x60,     rw,     32,      0x1, 0x40000000,      , trigger mode; framed/unframed
